id	WT_rep1	WT_rep2	WT_rep3	KO_rep1	KO_rep2	KO_rep3
ENSMUSG00000000001.4	134.1361649744697	119.67311416178532	120.00919475048278	124.3867367734589	133.05009771724218	131.33042103326608
ENSMUSG00000000028.15	43.544202808876356	56.1763421530721	54.1584119746766	52.48042205650433	49.99819815562733	56.754482575962584
ENSMUSG00000000056.7	40.91653539799589	33.26021390932598	31.017261430774305	62.549340241763886	59.54439350753708	60.73003811872325
ENSMUSG00000000078.7	3.253302508709153	1.2731182357636737	1.8675314474026414	3.661424794639837	1.6705841865842066	1.7821455881340909
ENSMUSG00000000085.16	93.09450255690807	96.43870635909828	88.50475120299474	85.84007018544507	100.47370607885014	92.80865870513688
ENSMUSG00000000088.7	40.91653539799589	25.462364715273473	20.055663804715323	36.61424794639837	38.78141861713337	43.731110970367304
ENSMUSG00000000094.12	173.55117613767675	165.0279513108662	153.0563816675643	138.82902346342715	154.05172749144361	159.5705741990832
ENSMUSG00000000126.11	2.0020323130517865	2.387096692056888	1.4615463501411976	1.2204749315466124	2.8638586055729256	1.3708812216416084
ENSMUSG00000000127.15	34.91043845884053	29.122579643094035	33.29077797543839	42.71662260413143	37.46881675624578	39.8926435497708
ENSMUSG00000000131.15	61.56249362634244	62.06451399347909	57.32509573331586	58.175971737055185	59.66372094943595	60.044597507902445
ENSMUSG00000000142.15	319.8246620100229	315.2559031309797	354.5061869286927	587.3535608068072	581.0053146056073	561.650036506567
ENSMUSG00000000148.17	5.755842900023886	3.3419353688796436	5.440200303303347	8.03479329934853	9.546195351909752	5.7577011308947545
ENSMUSG00000000149.10	89.84120004819891	84.02580356040247	78.59871482981552	102.92671922709764	111.45183073354636	106.10620655506048
ENSMUSG00000000168.9	45.54623512192814	35.488170821912405	38.64978125928945	49.530940971933354	44.389808386380345	43.31984660387482
ENSMUSG00000000171.5	74.57570366117905	76.38709414582041	65.6883887369016	81.26328919214527	90.68885584314265	93.63118743812184
ENSMUSG00000000184.12	171.17376276592776	61.42795487559725	60.57297651140741	88.17931380424274	57.15784466955964	116.11363947304423
ENSMUSG00000000194.13	30.0304846957768	30.39569787885771	29.149729983371664	30.206754555778655	29.712533032819103	31.256091853428668
ENSMUSG00000000197.8	0.7507621173944199	3.182795589409184	1.8675314474026414	4.4750747490042455	2.7445311636740537	2.741762443283217
ENSMUSG00000000214.11	44.42009194583651	35.80645038085332	27.201001516516733	47.90364106320453	46.41837489866117	48.11793087962045
ENSMUSG00000000247.11	10.635796663087616	7.797849194052501	8.850475120299475	7.119437100688572	9.546195351909752	6.717317986043881
ENSMUSG00000000248.16	0.6256350978286833	0.1591397794704592	0.24359105835686629	5.593843436255306	7.51762883962893	8.499463574177971
ENSMUSG00000000253.13	41.041662417561625	42.64946089808307	37.02584087024368	17.493474018834778	16.586514423943193	19.87777771380332
ENSMUSG00000000275.16	2.127159332617523	1.7505375741750513	1.4615463501411976	1.2204749315466124	0.8352920932921033	1.7821455881340909
ENSMUSG00000000276.11	43.79445684800783	38.03440729343975	39.948933570526066	51.36165336925327	50.117525597526196	46.88413778014301
ENSMUSG00000000278.10	39.41501116320705	40.42150398549664	43.521602426426774	11.696218093988369	13.722655818370269	17.684367759176748
ENSMUSG00000000282.12	22.647990541398336	20.688171331159698	18.51292043512184	16.374705331583716	16.22853209824658	12.886283483431118
ENSMUSG00000000290.13	2.2522863521832597	3.3419353688796436	3.410274816996128	4.271662260413144	6.085699536842467	5.483524886566434
ENSMUSG00000000295.13	11.011177721784826	8.911827650345716	9.012869159204053	7.017730856393021	8.472248374819905	6.443141741715559
ENSMUSG00000000296.8	3.7538105869721	0.6365591178818368	2.4359105835686625	1.7290061530243674	1.073946977089847	2.0563218324624124
ENSMUSG00000000301.16	2.877921450011943	1.591397794704592	1.623940389045775	1.5255936644332655	1.5512567446853347	2.467586198954895
ENSMUSG00000000303.12	469.8519584693411	543.6214866710886	569.7594854967102	465.0009489192593	426.3569499046693	427.02950054136096
ENSMUSG00000000305.12	26.2766741088047	28.00860118680082	25.414667088566382	21.460017546361268	23.74616093787551	21.934099546265735
ENSMUSG00000000318.16	19.14443399355771	15.754838167575462	21.354816115951945	8.03479329934853	12.887363725078165	7.539846719028846
ENSMUSG00000000320.10	6.256350978286833	8.27526853246388	5.84618540056479	6.102374657733062	3.460495815067285	4.386819909253147
